file,speaker,segs,ref_words,wer
audio_file_011,spk_1064,26,220,0.4045
audio_file_019,spk_1011,12,217,0.3641
audio_file_024,spk_1003,13,217,0.7235
audio_file_001,spk_1058,11,214,0.1589
audio_file_020,spk_1035,23,193,0.2902
audio_file_018,spk_1047,18,191,0.7016
audio_file_009,spk_1077,7,185,0.2595
audio_file_009,spk_1010,13,184,0.3261
audio_file_021,spk_1002,17,183,0.2951
audio_file_010,spk_1080,21,174,0.3851
audio_file_017,spk_1006,21,170,0.1176
audio_file_008,spk_1027,15,169,0.3432
audio_file_017,spk_1051,20,165,0.3939
audio_file_007,spk_1012,14,164,0.5366
audio_file_004,spk_1022,14,160,0.5437
audio_file_021,spk_1004,20,160,0.4313
audio_file_016,spk_1078,16,158,0.3671
audio_file_022,spk_1041,20,158,0.4494
audio_file_023,spk_1041,7,154,0.1818
audio_file_009,spk_0076,14,144,0.5069
audio_file_010,spk_1064,15,137,0.2409
audio_file_005,spk_1082,12,135,0.5778
audio_file_022,spk_1054,20,135,0.3926
audio_file_023,spk_1026,9,130,0.3385
audio_file_020,spk_1054,14,129,0.2481
audio_file_001,spk_1012,16,128,0.2422
audio_file_007,spk_1027,6,128,0.0703
audio_file_008,spk_1047,18,120,0.5250
audio_file_012,spk_1083,6,119,0.1176
audio_file_024,spk_1090,13,115,0.4261
audio_file_023,spk_1086,5,114,0.1316
audio_file_011,spk_1084,8,113,0.3186
audio_file_012,spk_1085,6,113,0.2301
audio_file_012,spk_0074,6,112,0.3125
audio_file_017,spk_1054,13,108,0.4167
audio_file_001,spk_1091,18,103,0.3883
audio_file_001,spk_1002,10,102,0.5098
audio_file_008,spk_1005,11,102,0.6078
audio_file_009,spk_1072,8,102,0.3039
audio_file_014,spk_1004,13,101,0.4752
audio_file_002,spk_1041,10,100,0.1100
audio_file_006,spk_1012,9,100,0.3900
audio_file_010,spk_1101,9,97,0.4639
audio_file_017,spk_1075,11,97,0.6289
audio_file_008,spk_1072,12,95,0.2211
audio_file_009,spk_1094,8,95,0.6421
audio_file_021,spk_1046,3,93,0.2366
audio_file_020,spk_1041,10,90,0.2667
audio_file_021,spk_1030,6,90,0.3889
audio_file_022,spk_1012,9,90,0.4000
audio_file_022,spk_1051,12,89,0.5281
audio_file_010,spk_1062,12,88,0.7955
audio_file_017,spk_1011,6,88,0.5568
audio_file_017,spk_1092,8,87,0.4253
audio_file_013,spk_1051,8,86,0.4884
audio_file_007,spk_1047,7,85,0.2941
audio_file_008,spk_1004,5,84,0.3810
audio_file_001,spk_1053,8,83,0.3735
audio_file_003,spk_1047,9,83,0.6145
audio_file_014,spk_1026,6,83,0.1084
audio_file_016,spk_1097,9,79,0.5190
audio_file_022,spk_1093,8,79,0.5190
audio_file_023,spk_1095,6,79,0.4810
audio_file_019,spk_1003,6,78,0.4231
audio_file_016,spk_1002,8,76,0.3553
audio_file_008,spk_1088,7,73,0.3014
audio_file_009,spk_1096,3,73,0.1370
audio_file_012,spk_1040,3,72,0.3472
audio_file_012,spk_1047,11,71,0.7465
audio_file_008,spk_1006,10,69,0.8551
audio_file_010,spk_1087,7,68,0.3676
audio_file_020,spk_0052,6,68,1.0147
audio_file_016,spk_1004,7,67,0.4478
audio_file_020,spk_1051,7,62,0.3871
audio_file_023,spk_1021,6,58,0.3793
audio_file_008,spk_1081,6,57,0.2632
audio_file_013,spk_1098,4,55,0.5455
audio_file_016,spk_1012,5,55,0.4545
audio_file_020,spk_1075,4,55,0.5273
