SPEECH RECOVERY — all-speakers_parakeetrnnt1.1b_disablePass1Extra  (file_015 excluded)

file             init_audio  recovered    rec@0.4 rec/init r04/init   segs seg@0.4
audio_file_001      4:58:43    2:28:22    2:27:13    49.7%    49.3%   2182    2153
audio_file_002      0:18:10    0:09:34    0:09:23    52.7%    51.7%    179     177
audio_file_003      5:30:59    2:32:17    2:30:18    46.0%    45.4%   2468    2436
audio_file_004      5:17:45    2:07:44    2:04:57    40.2%    39.3%   1913    1867
audio_file_005      4:05:10    1:55:41    1:52:52    47.2%    46.0%   1653    1603
audio_file_006      5:22:00    2:33:30    2:31:03    47.7%    46.9%   2376    2330
audio_file_007      5:23:05    2:25:59    2:23:39    45.2%    44.5%   2337    2286
audio_file_008      5:18:05    2:17:24    2:15:05    43.2%    42.5%   2246    2198
audio_file_009      0:23:25    0:15:21    0:14:42    65.6%    62.8%    246     237
audio_file_010      4:40:35    1:37:34    1:36:36    34.8%    34.4%   1640    1608
audio_file_011      4:15:50    1:45:14    1:44:33    41.1%    40.9%   1594    1577
audio_file_012      3:29:56    2:13:23    2:03:55    63.5%    59.0%   1863    1762
audio_file_013      1:19:45    0:43:33    0:42:25    54.6%    53.2%    716     696
audio_file_014      5:18:34    1:45:41    1:43:19    33.2%    32.4%   1927    1892
audio_file_016      5:18:53    2:29:39    2:26:49    46.9%    46.0%   2591    2524
audio_file_017      5:22:25    2:15:28    2:13:04    42.0%    41.3%   2399    2354
audio_file_018      1:17:15    0:26:33    0:24:09    34.4%    31.3%    474     441
audio_file_019      5:21:38    2:29:30    2:27:53    46.5%    46.0%   2255    2216
audio_file_020      3:54:26    1:35:56    1:29:33    40.9%    38.2%   1652    1544
audio_file_021      0:10:55    0:07:15    0:07:00    66.5%    64.1%    122     119
audio_file_022      5:34:42    2:31:40    2:30:00    45.3%    44.8%   2244    2209
audio_file_023      0:33:30    0:11:18    0:11:08    33.7%    33.2%    179     172
audio_file_024      5:45:45    2:35:59    2:25:18    45.1%    42.0%   1906    1749
TOTAL              89:01:32   39:34:31   38:34:55    44.5%    43.3%  37162   36150

Total initial audio (23 files, excl 015) : 89:01:32  (89.03 h)
Total speech recovered (all segments)    : 39:34:31  (39.58 h = 44.5% of audio)
Total speech recovered @ avg_score>=0.4  : 38:34:55  (38.58 h = 43.3% of audio)

PER-SPEAKER recovered duration @ avg_score>=0.4  (file | speaker, desc):
audio_file_004|spk_1020           0:03:15     66
audio_file_013|spk_1015           0:03:10     39
audio_file_019|spk_1035           0:03:06     69
audio_file_003|spk_1015           0:02:58     24
audio_file_012|spk_1020           0:02:56     43
audio_file_007|spk_1059           0:02:55     41
audio_file_005|spk_0057           0:02:45     23
audio_file_003|spk_1056           0:02:42     40
audio_file_017|spk_1025           0:02:42     49
audio_file_008|spk_1022           0:02:35     60
audio_file_022|spk_1035           0:02:35     53
audio_file_007|spk_1022           0:02:31     58
audio_file_009|spk_1004           0:02:30     41
audio_file_019|spk_1041           0:02:24     40
audio_file_019|spk_1051           0:02:19     47
audio_file_005|spk_1063           0:02:18     22
audio_file_006|spk_1004           0:02:09     38
audio_file_003|spk_1061           0:02:06     33
audio_file_023|spk_1012           0:02:03     31
audio_file_013|spk_1065           0:02:02     24
audio_file_007|spk_1004           0:02:01     40
audio_file_005|spk_1053           0:01:57     35
audio_file_013|spk_1066           0:01:55     42
audio_file_014|spk_1020           0:01:55     29
audio_file_023|spk_1060           0:01:52     26
audio_file_005|spk_1024           0:01:45     24
audio_file_007|spk_1020           0:01:44     34
audio_file_024|spk_1041           0:01:44     35
audio_file_001|spk_1068           0:01:41     40
audio_file_017|spk_1035           0:01:39     43
audio_file_005|spk_1058           0:01:37     13
audio_file_024|spk_1035           0:01:36     27
audio_file_012|spk_1021           0:01:33     21
audio_file_011|spk_1062           0:01:26     33
audio_file_001|spk_1070           0:01:24     34
audio_file_019|spk_1054           0:01:24     26
audio_file_017|spk_1041           0:01:19     26
audio_file_016|spk_1069           0:01:16     25
audio_file_006|spk_1053           0:01:15     25
audio_file_001|spk_1071           0:01:14     20
audio_file_009|spk_1022           0:01:11     19
audio_file_014|spk_1002           0:01:09     26
audio_file_011|spk_1064           0:01:09     25
audio_file_018|spk_1020           0:01:08     24
audio_file_016|spk_0067           0:01:07     14
audio_file_020|spk_1025           0:01:05     19
audio_file_021|spk_1002           0:01:01     17
audio_file_001|spk_1058           0:00:59     11
audio_file_011|spk_1073           0:00:57     14
audio_file_021|spk_1004           0:00:57     20
audio_file_010|spk_1080           0:00:54     19
audio_file_019|spk_1011           0:00:54     11
audio_file_020|spk_1035           0:00:54     21
audio_file_016|spk_1078           0:00:53     15
audio_file_017|spk_1006           0:00:53     20
audio_file_022|spk_1041           0:00:53     20
audio_file_001|spk_1012           0:00:52     16
audio_file_009|spk_1077           0:00:52      7
audio_file_020|spk_1054           0:00:49     14
audio_file_008|spk_1027           0:00:47     14
audio_file_022|spk_1054           0:00:47     20
audio_file_010|spk_1064           0:00:43     15
